LocMailCnt,count,timestamp,gear,tsns.hasTemp,tsns.temp,Gyro.hasTemp,Gryo.temp,Gyro.hasX,Gyro.x,Gyro.hasY,Gyro.y,Gyro.hasZ,Gyro.z,Gsns.hasTemp,Gsns.temp,Gsns.hasX,Gsns.x,Gsns.hasY,Gsns.y,Gsns.hasZ,Gsns.z,Pls.cycleTime,Pls.cycleCount,Pls.pulseCount
13173,131,1322180,1,0,0,1,34,1,-45.20002,1,-61.600029,1,-282.200104,0,0,1,-550.994385,1,464.595245,1,16532.83203,0,0,0
13173,131,1322180,1,0,0,1,34,1,-51.200024,1,-64.800026,1,-286.400116,0,0,1,-537.194519,1,577.994141,1,16469.43164,211891,1,1
13174,132,1322278,1,0,0,1,34,1,-36.800014,1,-94.40004,1,-274.600098,0,0,1,-509.194794,1,572.794189,1,16397.23242,0,0,0
13174,132,1322278,1,0,0,1,34,1,-48.000019,1,-128.600052,1,-297.80011,0,0,1,-625.993591,1,592.193909,1,16411.83203,0,0,0
13175,133,1322380,1,0,0,1,34,1,-85.200035,1,-77.200035,1,-303.600128,0,0,1,-673.59314,1,577.394104,1,16522.63281,0,0,0
13175,133,1322380,1,0,0,1,34,1,-77.40004,1,-71.800034,1,-300.000122,0,0,1,-598.993896,1,588.19397,1,16586.63086,179968,1,1
13176,134,1322480,1,0,0,1,34,1,-26.800009,1,-177.600098,1,-279.200104,0,0,1,-662.793213,1,658.793274,1,16628.63086,0,0,0
13176,134,1322480,1,0,0,1,34,1,-7.200003,1,-132.600052,1,-275.600128,0,0,1,-753.992371,1,574.594116,1,16508.23242,0,0,0
13177,135,1322580,1,0,0,1,34,1,21.400009,1,-37.600018,1,-261.000092,0,0,1,-751.992371,1,566.394165,1,16505.0332,0,0,1
13177,135,1322580,1,0,0,1,34,1,16.600008,1,-56.600021,1,-246.800095,0,0,1,-764.1922,1,545.394409,1,16693.63086,159078,1,0
13178,136,1322678,1,0,0,1,34,1,44.600018,1,-67.600029,1,-245.600113,0,0,1,-825.191528,1,548.594421,1,16654.0293,0,0,0
13178,136,1322678,1,0,0,1,34,1,24.400011,1,18.800007,1,-211.800079,0,0,1,-794.191895,1,528.594604,1,16556.43164,143820,1,1
13179,137,1322782,1,0,0,1,34,1,-10.400004,1,29.400013,1,-172.600067,0,0,1,-754.192322,1,587.794006,1,16449.63086,0,0,0
13179,137,1322782,1,0,0,1,34,1,3.400002,1,-19.200008,1,-151.000061,0,0,1,-634.99353,1,589.593933,1,16438.63086,0,0,0
13180,138,1322879,1,0,0,1,34,1,10.000004,1,-59.600025,1,-108.40004,0,0,1,-541.39447,1,540.394531,1,16416.23242,0,0,1
13180,138,1322879,1,0,0,1,34,1,-5.400003,1,-92.600044,1,-84.800026,0,0,1,-663.393188,1,551.794373,1,16407.43359,132505,1,0
13181,139,1322983,1,0,0,1,34,1,19.000008,1,-46.800018,1,-111.800049,0,0,1,-675.393066,1,609.593811,1,16504.63281,0,0,1
13181,139,1322983,1,0,0,1,34,1,21.400007,1,-61.200027,1,-126.200058,0,0,1,-842.391357,1,367.596252,1,16452.43164,123750,1,0
13182,140,1323081,1,0,0,1,34,1,53.400024,1,-34.600014,1,-115.600052,0,0,1,-1063.989258,1,279.997131,1,16426.83203,0,0,1
13182,140,1323081,1,0,0,1,34,1,25.00001,1,99.000038,1,-98.20005,0,0,1,-624.593567,1,752.992371,1,16637.23047,119193,1,0
13183,141,1323179,1,0,0,1,34,1,48.20002,1,33.800014,1,-83.000031,0,0,1,-546.794434,1,396.595947,1,16428.83203,0,0,0
13183,141,1323179,1,0,0,1,34,1,74.800034,1,5.400002,1,-68.000023,0,0,1,-545.594482,1,408.195831,1,16524.03125,109491,1,1
13184,142,1323281,1,0,0,1,34,1,80.000023,1,46.20002,1,-95.200043,0,0,1,-494.59491,1,306.596863,1,16649.62891,0,0,0
13184,142,1323281,1,0,0,1,34,1,19.000008,1,-68.600037,1,-80.600037,0,0,1,-646.193359,1,395.795959,1,16490.43164,104883,1,1
13185,143,1323381,1,0,0,1,34,1,-59.000027,1,-140.200058,1,-42.600018,0,0,1,-747.392334,1,405.595825,1,16760.0293,0,0,0
13185,143,1323381,1,0,0,1,34,1,-50.600025,1,-49.200027,1,-33.800011,0,0,1,-660.793213,1,422.995697,1,16635.63086,101094,1,1
