# TimeStamp,latitude(deg),longitude(deg),height(m),std_n(m),std_e(m),std_d(m)
824619,37.400683333,127.112028333,87.500,13.300,5.940,26.310
825555,37.400691667,127.112035000,85.500,50.960,27.270,104.500
826554,37.400706667,127.112045000,82.500,47.390,30.670,84.150
827560,37.400708333,127.112050000,82.100,39.030,21.440,72.400
828557,37.400701667,127.112048333,83.800,34.510,18.330,64.570
829609,37.400683333,127.112041667,87.800,38.710,21.840,70.700
830554,37.400675000,127.112040000,90.000,33.740,20.000,60.380
831560,37.400668333,127.112040000,91.600,30.730,19.000,53.750
832559,37.400663333,127.112040000,93.000,28.770,18.430,49.090
833561,37.400658333,127.112040000,94.200,27.320,18.030,45.450
834607,37.400655000,127.112040000,95.100,26.170,17.700,42.430
835565,37.400655000,127.112043333,96.300,16.590,11.560,26.610
836558,37.400653333,127.112045000,97.700,16.300,11.620,25.870
837566,37.400651667,127.112046667,98.600,16.080,11.670,25.270
838559,37.400651667,127.112046667,99.400,15.930,11.710,24.770
839618,37.400650000,127.112048333,99.800,15.810,11.760,24.340
840564,37.400650000,127.112051667,100.300,15.740,11.810,23.970
841569,37.400651667,127.112055000,100.900,15.690,11.840,23.650
842566,37.400653333,127.112056667,101.200,15.220,11.530,22.690
843574,37.400655000,127.112061667,101.600,14.790,11.250,21.830
844618,37.400658333,127.112066667,102.000,14.800,11.300,21.630
845571,37.400658333,127.112068333,102.000,14.810,11.330,21.440
846570,37.400658333,127.112068333,101.700,14.810,11.350,21.270
847576,37.400658333,127.112070000,101.400,14.810,11.370,21.100
848570,37.400661667,127.112075000,101.500,12.790,9.960,17.760
849621,37.400665000,127.112080000,101.300,13.140,10.280,17.680
850572,37.400666667,127.112081667,101.000,13.570,10.590,17.620
851577,37.400668333,127.112085000,100.700,14.060,10.900,17.560
852574,37.400671667,127.112088333,100.400,14.580,11.200,17.510
853577,37.400675000,127.112091667,100.200,15.080,11.480,17.450
854622,37.400678333,127.112093333,100.000,15.550,11.740,17.390
